  0.0000000E+00        0.0000
  0.0000000E+00        0.1000
  0.0000000E+00        0.2000
  0.0000000E+00        0.3000
  0.0000000E+00        0.4000
  0.0000000E+00        0.5000
  0.1380244E-04        0.6000
  0.5705515E-04        0.7000
  0.5555520E-04        0.8000
  0.4450050E-04        0.9000
  0.3409283E-04        1.0000
  0.2621580E-04        1.1000
  0.2062130E-04        1.2000
  0.1671981E-04        1.3000
  0.1400046E-04        1.4000
  0.1208894E-04        1.5000
  0.1072525E-04        1.6000
  0.9732477E-05        1.7000
  0.8991199E-05        1.8000
  0.8421091E-05        1.9000
  0.7968180E-05        2.0000
  0.7596198E-05        2.1000
  0.7280743E-05        2.2000
  0.7005369E-05        2.3000
  0.6758957E-05        2.4000
  0.6533964E-05        2.5000
  0.6325244E-05        2.6000
  0.6129262E-05        2.7000
  0.5943567E-05        2.8000
  0.5766439E-05        2.9000
  0.5596651E-05        3.0000
  0.5276414E-05        3.2000
  0.4977542E-05        3.4000
  0.4697347E-05        3.6000
  0.4433996E-05        3.8000
  0.4186107E-05        4.0000
  0.3952555E-05        4.2000
  0.3732376E-05        4.4000
  0.3524712E-05        4.6000
  0.3328788E-05        4.8000
  0.3143892E-05        5.0000
  0.2927336E-05        5.2500
  0.2725812E-05        5.5000
  0.2538249E-05        5.7500
  0.2363657E-05        6.0000
  0.2201121E-05        6.2500
  0.2049794E-05        6.5000
  0.1908894E-05        6.7500
  0.1777695E-05        7.0000
  0.1655521E-05        7.2500
  0.1541749E-05        7.5000
  0.1435797E-05        7.7500
  0.1337125E-05        8.0000
  0.1245232E-05        8.2500
  0.1159649E-05        8.5000
  0.1079943E-05        8.7500
  0.1005710E-05        9.0000
  0.9365714E-06        9.2500
  0.8721757E-06        9.5000
  0.8121915E-06        9.7500
  0.7563043E-06       10.0000
  0.6559016E-06       10.5000
  0.5687808E-06       11.0000
  0.4932068E-06       11.5000
  0.4276509E-06       12.0000
  0.3707803E-06       12.5000
  0.3214375E-06       13.0000
  0.2786226E-06       13.5000
  0.2414803E-06       14.0000
  0.2092871E-06       14.5000
  0.1814278E-06       15.0000
  0.1573590E-06       15.5000
  0.1365748E-06       16.0000
  0.1186079E-06       16.5000
  0.1030602E-06       17.0000
  0.8961900E-07       17.5000
  0.7805137E-07       18.0000
  0.6819940E-07       18.5000
  0.5998197E-07       19.0000
  0.5332755E-07       19.5000
  0.4461779E-07       20.0000
  0.3682363E-07       21.0000
  0.3254053E-07       22.0000
  0.3123690E-07       23.0000
  0.3150786E-07       24.0000
  0.3183928E-07       25.0000
  0.3118617E-07       26.0000
  0.2919036E-07       27.0000
  0.2604795E-07       28.0000
  0.1324557E-07       29.0000
  0.7052074E-08       30.0000
  0.5898764E-08       31.0000
  0.6084432E-08       32.0000
  0.6416299E-08       33.0000
  0.6688836E-08       34.0000
  0.6886000E-08       35.0000
  0.7015333E-08       36.0000
  0.7085927E-08       37.0000
  0.7106420E-08       38.0000
  0.7085020E-08       39.0000
  0.7029577E-08       40.0000
  0.6947647E-08       41.0000
  0.6846495E-08       42.0000
  0.6733077E-08       43.0000
  0.6613975E-08       44.0000
  0.6495348E-08       45.0000
  0.6382836E-08       46.0000
  0.6281484E-08       47.0000
  0.6195656E-08       48.0000
  0.6128943E-08       49.0000
  0.6084093E-08       50.0000
  0.0000000E+00        0.0000
  0.0000000E+00        0.1000
  0.0000000E+00        0.2000
  0.0000000E+00        0.3000
  0.0000000E+00        0.4000
  0.0000000E+00        0.5000
  0.0000000E+00        0.6000
  0.3257928E-04        0.7000
  0.5376525E-04        0.8000
  0.4900727E-04        0.9000
  0.3921909E-04        1.0000
  0.3047717E-04        1.1000
  0.2385070E-04        1.2000
  0.1908219E-04        1.3000
  0.1570234E-04        1.4000
  0.1330608E-04        1.5000
  0.1159255E-04        1.6000
  0.1034943E-04        1.7000
  0.9429841E-05        1.8000
  0.8733094E-05        1.9000
  0.8190387E-05        2.0000
  0.7754781E-05        2.1000
  0.7394250E-05        2.2000
  0.7086923E-05        2.3000
  0.6817834E-05        2.4000
  0.6576716E-05        2.5000
  0.6356500E-05        2.6000
  0.6152293E-05        2.7000
  0.5960684E-05        2.8000
  0.5779277E-05        2.9000
  0.5606364E-05        3.0000
  0.5282316E-05        3.2000
  0.4981322E-05        3.4000
  0.4699897E-05        3.6000
  0.4435801E-05        3.8000
  0.4187443E-05        4.0000
  0.3953586E-05        4.2000
  0.3733201E-05        4.4000
  0.3525399E-05        4.6000
  0.3329382E-05        4.8000
  0.3144423E-05        5.0000
  0.2927820E-05        5.2500
  0.2726271E-05        5.5000
  0.2538698E-05        5.7500
  0.2364103E-05        6.0000
  0.2201569E-05        6.2500
  0.2050247E-05        6.5000
  0.1909350E-05        6.7500
  0.1778153E-05        7.0000
  0.1655979E-05        7.2500
  0.1542204E-05        7.5000
  0.1436247E-05        7.7500
  0.1337567E-05        8.0000
  0.1245663E-05        8.2500
  0.1160068E-05        8.5000
  0.1080348E-05        8.7500
  0.1006099E-05        9.0000
  0.9369444E-06        9.2500
  0.8725324E-06        9.5000
  0.8125321E-06        9.7500
  0.7566296E-06       10.0000
  0.6562026E-06       10.5000
  0.5690660E-06       11.0000
  0.4934907E-06       11.5000
  0.4279539E-06       12.0000
  0.3711278E-06       12.5000
  0.3218553E-06       13.0000
  0.2791250E-06       13.5000
  0.2420481E-06       14.0000
  0.2098405E-06       14.5000
  0.1818195E-06       15.0000
  0.1574211E-06       15.5000
  0.1362284E-06       16.0000
  0.1179521E-06       16.5000
  0.1023195E-06       17.0000
  0.8897535E-07       17.5000
  0.7754069E-07       18.0000
  0.6773420E-07       18.5000
  0.5939652E-07       19.0000
  0.5236898E-07       19.5000
  0.4332315E-07       20.0000
  0.3366844E-07       21.0000
  0.2617758E-07       22.0000
  0.2061557E-07       23.0000
  0.1646042E-07       24.0000
  0.1324798E-07       25.0000
  0.1065424E-07       26.0000
  0.8492374E-08       27.0000
  0.6671593E-08       28.0000
  0.4029347E-08       29.0000
  0.2083588E-08       30.0000
  0.1261896E-08       31.0000
  0.1037163E-08       32.0000
  0.9978063E-09       33.0000
  0.9939147E-09       34.0000
  0.9900994E-09       35.0000
  0.9811550E-09       36.0000
  0.9674706E-09       37.0000
  0.9500754E-09       38.0000
  0.9299217E-09       39.0000
  0.9078438E-09       40.0000
  0.8845895E-09       41.0000
  0.8608449E-09       42.0000
  0.8372488E-09       43.0000
  0.8143983E-09       44.0000
  0.7928496E-09       45.0000
  0.7731143E-09       46.0000
  0.7556538E-09       47.0000
  0.7408729E-09       48.0000
  0.7291123E-09       49.0000
  0.7206420E-09       50.0000
  0.0000000E+00        0.0000
  0.0000000E+00        0.1000
  0.0000000E+00        0.2000
  0.0000000E+00        0.3000
  0.0000000E+00        0.4000
  0.0000000E+00        0.5000
  0.0000000E+00        0.6000
  0.8118901E-05        0.7000
  0.4925777E-04        0.8000
  0.5131074E-04        0.9000
  0.4286814E-04        1.0000
  0.3375583E-04        1.1000
  0.2641093E-04        1.2000
  0.2098079E-04        1.3000
  0.1708025E-04        1.4000
  0.1429641E-04        1.5000
  0.1230108E-04        1.6000
  0.1085530E-04        1.7000
  0.9790810E-05        1.8000
  0.8990766E-05        1.9000
  0.8374540E-05        2.0000
  0.7886643E-05        2.1000
  0.7488919E-05        2.2000
  0.7155119E-05        2.3000
  0.6867165E-05        2.4000
  0.6612579E-05        2.5000
  0.6382722E-05        2.6000
  0.6171591E-05        2.7000
  0.5974986E-05        2.8000
  0.5789953E-05        2.9000
  0.5614386E-05        3.0000
  0.5287091E-05        3.2000
  0.4984284E-05        3.4000
  0.4701807E-05        3.6000
  0.4437075E-05        3.8000
  0.4188313E-05        4.0000
  0.3954189E-05        4.2000
  0.3733623E-05        4.4000
  0.3525693E-05        4.6000
  0.3329587E-05        4.8000
  0.3144566E-05        5.0000
  0.2927911E-05        5.2500
  0.2726332E-05        5.5000
  0.2538742E-05        5.7500
  0.2364142E-05        6.0000
  0.2201608E-05        6.2500
  0.2050291E-05        6.5000
  0.1909402E-05        6.7500
  0.1778213E-05        7.0000
  0.1656049E-05        7.2500
  0.1542282E-05        7.5000
  0.1436333E-05        7.7500
  0.1337659E-05        8.0000
  0.1245761E-05        8.2500
  0.1160170E-05        8.5000
  0.1080453E-05        8.7500
  0.1006205E-05        9.0000
  0.9370504E-06        9.2500
  0.8726369E-06        9.5000
  0.8126342E-06        9.7500
  0.7567283E-06       10.0000
  0.6562944E-06       10.5000
  0.5691486E-06       11.0000
  0.4935633E-06       11.5000
  0.4280184E-06       12.0000
